Article Title	link	Primeira fase - Leitura de títulos<br>**Critério de exclusão de títulos** = *Não tem conversação (NTC)*	Segunda fase - Leitura de abstracts<br>**Critério de exclusão** = *Não tem BDI ou não é embarcado*
Agent communication language: Towards a semantics based on success, satisfaction, and recursion	https://www.webofscience.com/wos/alldb/full-record/WOS:000084208600024	!	
~~Keynote Speech: Computational Collective Intelligence and Knowledge Inconsistency in Multi-agent Environments~~	https://www.webofscience.com/wos/alldb/full-record/WOS:000262709200002	X - NTC	-
Dissertation or Thesis Agent Communication Language Based on Commitments Through Dialogue Games	https://www.webofscience.com/wos/alldb/full-record/PQDT:69144710	!	
An agent-based design of a NL-interaction for intelligent assistance in an E-commerce scenario	https://www.webofscience.com/wos/alldb/full-record/WOS:000177404200091	!	
~~COGNITIVELY MOTIVATED EPISODIC MEMORY FOR A VIRTUAL GUIDE~~	https://www.webofscience.com/wos/alldb/full-record/WOS:000327208400075	X - NTC	-
~~Reflective reasoning~~	https://www.webofscience.com/wos/alldb/full-record/PQDT:56774912	X - NTC	-
Word concept model for intelligent dialogue agents	https://www.webofscience.com/wos/alldb/full-record/WOS:000170595900075	!	
~~Data underlying the Evaluation of an Emotion Model for Child Helpline Training Tool~~	https://www.webofscience.com/wos/alldb/full-record/DRCI:DATA2023176027987843	X - NTC	-
~~Endowing emotional agents with coping strategies: From emotions to emotional behaviour~~	https://www.webofscience.com/wos/alldb/full-record/WOS:000250108100032	X - NTC	-
AI Social Agents	https://www.webofscience.com/wos/alldb/full-record/GRANTS:15305466	!	
~~From Doubt to Action-Empowering LLMs with the DIVE Protocol for Robust False Belief Handling~~	https://www.scopus.com/pages/publications/105027471867?origin=resultslist	X - NTC	-
~~Evaluating Theory of Mind and Internal Beliefs in LLM-Based Multi-agent Systems~~	https://www.scopus.com/pages/publications/105023166474?origin=resultslist	X - NTC	-
Oops, I Heard That! Situated Communication with Locality-Aware KQML	https://www.scopus.com/pages/publications/105030873494?origin=resultslist	!	
13th International Workshop on Engineering Multi-Agent Systems, EMAS 2025	https://www.scopus.com/pages/publications/105030851723?origin=resultslist	! - Conference	
23rd International Conference on Practical applications of Agents and Multi-Agent Systems, PAAMS 2025	https://www.scopus.com/pages/publications/105023323595?origin=resultslist	! - Conference	
7th International Workshop on Explainable, Transparent Autonomous Agents and Multi-Agent Systems, EXTRAAMAS 2025	https://www.scopus.com/pages/publications/105020041915?origin=resultslist	! - Conference	
~~Ladder of Intentions: Unifying Agent Architectures for Explainability and Transferability~~	https://www.scopus.com/pages/publications/105020010827?origin=resultslist	X - NTC	-
16th Annual International Conference on Biologically Inspired Cognitive Architectures, BICA 2025	https://www.scopus.com/pages/publications/105028266811?origin=resultslist	! - Conference	
Lilobot: A Cognitive Conversational Agent to Train Counsellors at Children’s Helplines: Design and Initial Evaluation	https://www.scopus.com/pages/publications/85215615537?origin=resultslist	!	
~~Wealth-Voyager: Navigating IntelligentWealth Management with a Multi-Agent Framework~~	https://www.scopus.com/pages/publications/105023282774?origin=resultslist	X - NTC	-
Let Me Talk to You! Natural Language Interaction between Humans and BDI Agents via ChatBDI	https://www.scopus.com/pages/publications/105024473645?origin=resultslist	!  - OPAAAAAA	
~~Meta-Reasoning Agents Based on Narrative-Driven Inference for Mitigating Privacy Risks in Multimodal Settings~~	https://www.scopus.com/pages/publications/105024445724?origin=resultslist	X - NTC	-
~~Exploiting GenAI for Plan Generation in BDI Agents~~	https://www.scopus.com/pages/publications/105024480000?origin=resultslist	X - NTC	-
